healpix,GGDrlen,GGDalpha,GGDbeta
10491,2055.53026148343,1.04786399833995,1.30276473010194
10492,2371.39895207279,1.12365056965585,1.32237968556253
10493,2612.22018751199,1.1446284653664,1.18393040867033
10494,2048.03412408304,1.03092512530977,1.22476085667426
10495,2899.26984765975,1.16498719362953,0.960967604885695
10496,2925.1213817687,1.12926144024119,0.732443070512751
10497,3449.53240132346,1.21718995325485,0.673629484176741
10498,2855.81106785834,1.11846944434419,0.866378153712449
10499,3604.8705039161,1.25002772438684,0.7803426849027
10500,3122.44899585379,1.14918156807397,0.774817461490718
10501,4244.50882142235,1.36242992432096,0.644975275526277
10502,3390.92666252895,1.20893946392552,0.871397920909892
10503,3695.69964777091,1.26692329570434,0.879276078045655
10504,2682.92837930467,1.11326318545836,1.07483692419173
10505,3151.88507716259,1.19544472754815,1.02829477232974
10506,2544.1984653794,1.1246637412313,1.33403947176363
10507,2929.06508842258,1.19502666815058,1.33039233596851
10508,3100.30758647591,1.19064238671749,1.10881143497059
10509,3606.03756490124,1.3002662491072,1.07122265923708
10510,3089.96148327124,1.23213877672213,1.38826886258391
10511,3169.304842162,1.25891447527184,1.48242725663955
10512,4003.89636454774,1.31839967831686,0.727023576828187
10513,5469.56035125137,1.64223001541709,0.571555072993511
10514,4662.16890476707,1.46381064463807,0.784902420021393
10515,4638.54042517913,1.4659245502103,0.847132837832397
10516,5154.66625491772,1.54649838792678,0.671478994215814
10517,5450.59297378562,1.62096748751226,0.689623551084224
10518,4658.88305023772,1.48356164954993,0.893212275821211
10519,4930.74356889057,1.57180608699442,0.910970003496928
10520,3944.42440134909,1.36828973292468,1.09027965041713
10521,3959.62356832246,1.38561768652276,1.17194139764293
10522,3623.31660932395,1.36905057700185,1.48173088136819
10523,3748.97747880254,1.4198597389941,1.57249925408293
10524,4081.56653300592,1.4375273095611,1.24798782634557
10525,4328.84114195709,1.48824152801749,1.31451049457732
10526,3960.56680705092,1.49487387084453,1.65171395249858
10527,3965.89924909296,1.52874073769834,1.74227579354071
10528,2648.72580835858,1.18834776411154,1.6559158066438
10529,2978.57698113911,1.26239765434463,1.68632222681841
10530,3244.32205460566,1.34436504228036,1.91936940881284
10531,3324.70589122661,1.36536803524213,2.04809548744295
10532,3328.53461875705,1.35039148223932,1.72725736865554
10533,3556.48864913771,1.40170319237903,1.81050390764399
10534,3331.94245831685,1.3591877230479,2.21768978064686
10535,2971.98069199489,1.30009453740041,2.45318837774565
10536,2463.12913971,1.16975177784584,2.63773555249288
10537,1861.17774332406,1.05244096599504,3.102528456122
10538,614.914690058508,0.778624092294079,3.65853340309627
10539,209.089904624793,0.65198169275736,4.40258567459523
10540,1041.79669457325,0.91672182454059,3.66263315576828
10541,547.636621076718,0.775134877388396,3.68470656138002
10542,659.405362058293,0.888411181277359,3.82894218053929
10543,1798.79830454504,1.38423959194584,2.84343441022592
10544,3816.86522996249,1.4775390679034,1.89678900640932
10545,3764.01852044236,1.48980596026428,2.00296550042361
10546,2541.23266200846,1.20718481362475,2.42902142437688
10547,1099.27064842158,0.904108056344494,2.85021581537354
10548,3141.11184629443,1.36976182617863,2.24198915322755
10549,2071.84252031878,1.13690269368221,2.37935932415205
10550,392.706315542294,0.732884466515547,3.79074133577972
10551,25.6213277699658,0.487242427726833,4.65625589205933
10552,102.873517571804,0.580329979495391,4.34000727893444
10553,139.781006052786,0.654602039312465,4.53620166788503
10554,433.908157958201,0.786111504707055,3.73913005601707
10555,1439.35641096094,1.00362547083582,2.65146147409211
10556,637.070313570776,0.880067808697796,3.64705029056077
10557,309.153093801534,0.731684548648825,4.09134400887037
10558,2554.46411708165,1.23459829292602,2.29760157605242
10559,1749.25222784805,1.04270793430812,2.31323539946664
10560,6491.4554932574,1.92036416265725,0.607665225263955
10561,6450.07999326647,1.92977010017917,0.666922253131703
10562,5252.8949228854,1.64336451693322,0.955454966826623
10563,5393.38843063438,1.68440262050755,1.01998184487364
10564,6099.39709477894,1.82219737515821,0.783437700628171
10565,6536.95186503724,1.94941352333101,0.799070213723863
10566,5028.6341466617,1.62469875670275,1.17299130595727
10567,5148.62609161326,1.68596832383948,1.24901735938039
10568,4554.74737985004,1.56526093603462,1.37340929181993
10569,3955.18231430383,1.49318460740895,1.57828337084874
10570,3515.91985885216,1.46002385837994,1.94683481090481
10571,2798.32357134952,1.31503375999367,2.18964810196561
10572,4386.33279448365,1.61199133735463,1.63521602141724
10573,4594.49802057998,1.67612715476054,1.73958240951116
10574,2618.95566489085,1.25885849521205,2.30522969588527
10575,1593.36672581583,1.01966934826049,2.55501308035585
10576,7069.18606664109,2.13949807608801,0.801812488489411
10577,6062.11536104733,1.88828243790553,1.00020016964766
10578,5051.92027108901,1.71972357151777,1.3291784220845
10579,4596.64007047614,1.6592465619285,1.49942996735047
10580,6122.85162872231,1.95348186802242,1.09010129977136
10581,6323.80529030394,2.04717874512517,1.21254652353871
10582,4979.17186573389,1.7913079645467,1.55738944793124
10583,6026.29035091048,2.13152278823761,1.42339630769202
10584,3642.69712143289,1.50059666222463,1.97164452646987
10585,3166.46195131748,1.3988011465892,2.17932676686454
10586,1957.2330031221,1.08265522043995,2.41137894583655
10587,2402.2363995029,1.17440893821448,2.45640720891348
10588,3653.66190578699,1.50070423192704,2.00099802820025
10589,4127.99478699213,1.60195094479767,1.81870678944431
10590,1571.8203725866,0.970805462296408,2.39508479528508
10591,2194.11126098548,1.05816246348619,2.07853917595256
10592,1366.83296214947,0.948760945705012,2.18433426033999
10593,615.595519343132,0.782806680740053,3.301758012773
10594,111.914885644274,0.642820434052224,5.07229049996436
10595,44.4628280883889,0.553901474447294,5.20630696410199
10596,411.33940137349,0.6972798175053,2.85841418977707
10597,373.202077404307,0.724663692308423,3.52543127777715
10598,223.187248110605,0.729220376515849,4.13870874845452
10599,28.365712437408,0.513765843696743,4.62719407233113
10600,343.054376781832,0.727227317118768,3.63487153009838
10601,1541.7557839702,1.01997272424825,2.59166191966781
10602,2529.75877222435,1.22785906947698,1.94723922480407
10603,3892.56437233971,1.57715928346181,1.96850054819351
10604,2813.52634573201,1.25935628636024,2.13602816670932
10605,3390.85925855547,1.33931378232683,1.74984888147774
10606,3880.97481434934,1.57151795716326,1.92669942244619
10607,3775.29720923205,1.54116308474484,1.91680660375784
10608,1822.38800192845,1.08900836729957,2.53681794395551
